,target,text,stance,stance_confidence,sarcasm,sarcasm_confidence,sentiment,sentiment
192,Covid Vaccine,MENTION MENTION  ما احتاج تقوية مناعة جاتني كورونا وراحت زيها زي اي زكمة الله يصلحك وشيبان وأهل امراض مزمنة جاتهم وراحت بدون تطعيم,Against,1.0,No,1.0,Neutral,0.6512
194,Women empowerment,عميدة كلية عايزة تعلق بانرات تتكلم عن تمكين المرأة وحقوق المرأة ... عميدة كلية  هو اكتر من كدا ايه تمكين للحريم معلش؟!,Against,1.0,Yes,0.7605,Neutral,0.7178
195,Women empowerment,قبل عملها فى مجال الفضاء  عملت سارة معلمة يوجا ومدربة كروس فيت  ومارست فنون القتال المختلطة لبعض الوقت. في عام 2016   سافرت الى عدة بلاد فى إفريقيا للعمل التطوعي في مدارس ومنظمات مختلفة   بما في ذلك مركز تمكين المرأة في أوغندا.,Favor,0.5767,No,1.0,Neutral,1.0
196,Digital Transformation,#يحدث_الان  الجودة وسلامة المرضى في #صحة_حائل تقيم لقاء تحضيري لرحلة الاعتماد الكلي ومناقشة التحول الإلكتروني لبعض الانظمة كما تم مراجعة نتائج ESR والخطة التصحيحية لها . URL,Favor,1.0,No,1.0,Neutral,1.0
197,Digital Transformation,٢٠٣٠)  رؤية المستقبل و التطور و التحول الإلكتروني رؤية طموحه من قائد حالم طموح انها رؤية سيدي الامير محمد بن سلمان بن عبدالعزيز آل سعود حفظه الله ورعاه 🤍  #العطاء_بإحسان #مسابقة_ابوناصر١٤ URL,Favor,1.0,No,1.0,Positive,1.0
198,Covid Vaccine,#تطعيم_كورونا  #لا_للتطعيم  طبعاً أول اللي فيه أمراض مثل القلب وتحوشه كورونا و يموت   يكتبونه من وفيات الكورونا   الحين اللي فيه القلب و يتطعم و يموت   بيقولون هذا كان فيه القلب   ما مات من التطعيم !!! بالله شووو,Against,0.7467,No,1.0,Neutral,0.6566
199,Women empowerment,- الطلاق الشفوي ولازم امام قاضي - تمكين المرأة - و قهر الرجال بزياده البطالة و تضييق الحال عليهم بغلاء و غلق ابواب الرزق كوقف اعمال البناء! - فقر و معاناة اقتصادية ترفع نسب الطلاق  - قانون احوال شخصية جديد  #السيسي يسعى لتفكيك عروى المجتمع المصري و نواتها,Against,1.0,No,1.0,Negative,1.0
201,Digital Transformation, بالذات الحلقة بتاعت التحول الرقمي والتعامل الإلكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,Against,0.4193,No,0.7309,Negative,0.7791
203,Covid Vaccine,  مثل مافي تطعيم انفلونزا سنوي  راح يصير تطعيم كورونا سنوي. مادري مستغربين ليه! 🤔,Favor,1.0,No,1.0,Neutral,0.7232
204,Digital Transformation,صباح الوطن.. وصباح التحول الإلكتروني من أجل أبناء عمان. URL,Favor,1.0,No,1.0,Positive,0.5748
206,Digital Transformation,على طريق التحول الرقمي… خدمات الدفع الإلكتروني تقدم للمواطنين عبر شركات الخلوي URL,Favor,0.7268,No,1.0,Neutral,1.0
207,Women empowerment,#اليوم_العالمي_للمرأة متنة للنساء المثابرات في تمكين مجتمعاتهنّ... أنتنّ جميعاً رمز القوة والكرم في يوم المرأة العالمي🤍.,Favor,1.0,No,1.0,Positive,1.0
208,Digital Transformation," ويقولش ""التحول الالكتروني"" 🤣",Against,0.3935,Yes,0.8143,Neutral,1.0
210,Women empowerment, تمكين المرأة يكون بوظايف تليق فيها موب تحطها كاشير,Favor,0.6234,No,1.0,Negative,1.0
211,Covid Vaccine, قلنا بأن كل الهلع والترويع الذي تنشره وسايل الاعلام عن كورونا ومتحوراتها هدفها تطعيم اكبر عدد ممكن من البشر باللقاحات التي تنتجها شركات الادوية والتي تتاجر على حساب صحة البشر.!,Against,1.0,No,1.0,Negative,0.6144
212,Women empowerment,MENTION ياخي الله يقلع الي علمكم عن تمكين المرأه انتم مكنوا الشباب العاطل مئات الشباب عندهم شهادت طيران وعاطلين عن العمل,Against,1.0,No,1.0,Negative,0.7892
213,Women empowerment,- فالبرنانج الضعيف ( وعد )   امس كان الموضوع تدوير النفايات  واليوم الموضوع تمكين المرأه ..  ترتيب الاولويات وتناسب الحلقات يحسب لهم رغم ضعف البرنامج ..,Favor,0.411,No,0.7284,Negative,0.7352
214,Digital Transformation,   الإرادة والرغبة .  وشخصياً أعلم يقيناً بأن التحول الالكتروني لا يصنعه كبار المسؤلين في الوحدة بل أن رئيس قسم منتج وواعي مع فريق تقني يتقن عمله ويعطى كامل الصلاحيات بدون تدخل في عمله    بإمكانه تحويل مؤسسة بالكامل .,Favor,0.6205,No,1.0,Neutral,1.0
215,Covid Vaccine,👏🏻👏🏻👏🏻 اليوم موعد تطعيمي كان سحبت عليهم 🤝 لأن شركة فايزر مو عارفة حضرتها كم لقاح نحتاج ! تجرّب فينا ! بعد تطعيم اللقاحين تقول للناس بعد سنة تحتاجون تطعيم ثالث ! وبعدها احتمال كل سنة تحتاج تطعيم لمدى الحياة !! مابي أبي أدخل جسمي شيء الشركة نفسها مو عارفة كيف تتخلص منها كيف أنا ! URL,Against,1.0,No,1.0,Neutral,0.7127
216,Women empowerment, بصراحة انا مع تمكين المرأة قلباً وقالباً ، خصوصا في الوظائف التي يعتقد الرجل انها حكراً عليه ويفترض  أن المرأة لا تستطيع القيام بها، أن مصطلح تمكين المرأة يعني مساعدتها في بلوغ أهدافها وطموحاتها الوظيفية وخصوصا إن كانت زوجة ،ربة أسرة، وأحيانا ,Favor,1.0,No,1.0,Positive,1.0
217,Covid Vaccine,الخالق جعلهم يتصرفون بحمق وغباء  هذه إشارة وتحذير  .. ستأخذ اللقاح السام لوهم كورونا الحالي ولكن هذا ليس كافياً الأوغاد سيخرجون لك كل فترة بسلالة جديدة وبطبيعة الحال ستكون أقوى وتحتاج لقاح آخر وهكذا ستقضي حياتك هذا على فرض بأنك ستعيش من تطعيم إلى آخر . URL,Against,1.0,No,1.0,Negative,0.7469
218,Covid Vaccine,أحد الناشطين في مركز تطعيم للقاح السام لوهم كورونا 💉🚫 يحذر شعبه من لقاح الدجال ولكن للأسف كأن الناس ألقي عليهم سحر أسود وفي حقيقة الأمر برمجة وشحن إعلامي كاذب مضلل تعرضه له على مدى عامين من تخويف وإرهاب وفرض حالة طوارئ وإغلاق وحظر إلخ .. URL,Against,1.0,No,1.0,Negative,0.6011
219,Covid Vaccine,MENTION MENTION MENTION بس التطعيمات الي اولادنا اخذوها دي اخذت وقتها في تصنيعها وتجارب الي ان طلعت لناس لكن تطعيم كورونا ماخلص من التجارب لسه وبيطبق علينا بس حرام الاطفال كمان تدخل في نظام التجارب دي واحنا لسه مو عارفين مضاعفاته وابعاده ايش هي بعدين,Against,1.0,No,1.0,Neutral,0.7232
221,Covid Vaccine,"MENTION MENTION جاري البحث عن العلاقة بين الآية "" لاإكراه في الدين "" وإجبارية تطعيم لقاح كورونا .🤔⁉️🤔 URL",Against,0.7652,No,0.6414,Neutral,0.6414
222,Covid Vaccine,الله يرحمه ويغفر له صدمني خبر وفاته والله يعوض عليه عمره بالجنه المفروض بعد هالسالفه يقطعون سالفة اللقاح خلاص كورونا مو في هالخطوره حتى قالوها قبل راح تصير نفس الانفلونزه الطبيعيه وتصير موسميه عاديه مو محتاجه تطعيم  #مشاري_البلام,Against,1.0,No,1.0,Negative,0.6509
225,Women empowerment," الواضح للجميع أن السلب كان لحقوق الزوج فقط.  من باب ""تمكين المرأة"".  فالسلب كان لطرف مقابل تسليمها الآخر  أنت تضع السارق والمسروق في كفة واحدة.",Against,0.7322,No,1.0,Negative,1.0
228,Digital Transformation, الله يطول عمر بو راشد  🌹  صاحب النقلة النوعية في الخدمات الحكومية لدولة الامارات و الداعم الاول لمشروع التحول الالكتروني وبفضل الله و رؤية سموه  الثاقبة في ظل جائحة كورونا لم تتأثر الخدمات المقدمة للمجتمع أو التعليم ناهيك عن التطبيب عن بع,Favor,1.0,No,1.0,Positive,1.0
229,Women empowerment, القمه والقوه 😂 لا جد والله العبث وعدم الرضى والبحث المستمر والصمود والمواجهه  شخصيتك مثابره والرياضيات تتيح لصاحبها المزيد من الحلول في حال يواجه مشكله  اتوقع اشوفك يوم وزيرة للتعليم بعد برامج تمكين المرأة مو بعيد اشوفك وزيره 🤗😍💐,Favor,0.7657,No,0.7945,Neutral,0.6191
230,Digital Transformation, سبق و اجتمعنا مع هالشخص كان يحرص على عدم وجود اوراق بالاجتماع و يحث على التحول الالكتروني لفتت انتباهي هالنقطة 👍🏻,Favor,0.7652,No,1.0,Neutral,1.0
231,Digital Transformation, مختصر التحول الالكتروني 😂👍🏻,Favor,0.4372,No,0.6891,Neutral,0.8426
232,Digital Transformation,صحيح  جدا   لذلك  الكل  يحارب الاتمتة  المؤسسة نفسها تحارب  التحول للنظام الالكتروني  لان رئيس القسم اشترى المنصب الذي يشغله مفتش الكمارك مستقرض حتى يشتري منصبة  لن يسمحوا بالسرعة  و لا الاتمتة URL,Against,0.4209,No,0.7104,Negative,1.0
233,Women empowerment,  اي احاديث تمكين للمرأه تتخبى ومايستدلون فيها اقولك يخافون من المرأه انها تجيب لهم عار وكلام بين الجماعه,Favor,0.4178,No,0.7456,Negative,0.7202
234,Digital Transformation, أعانكم الله   🅾️ مؤسف أن لا تستطيع إنجاز أعمالك بسهولة   ونحن في عصر التحول الرقمي عصر الذي سهل التواصل الإلكتروني عبر طرق كثيرة. URL ,Favor,1.0,No,1.0,Positive,1.0
236,Digital Transformation, الالكتروني ميزته انك تقدر ترجع للمحاضرات اذا كانت مسجلة مشكلته عدم الالتزام سهل جداً انك تأجل فيه اما عن المشاكل الثانية اعتقد انها بسبب التحول المفاجئ وظلم انك تحكم على الالكتروني بهالظروف,Favor,0.6035,No,1.0,Neutral,1.0
237,Covid Vaccine, اخذو القاح وقبل لاتاخذونه عمل تحليل اجسام مضاده وسوو مسحه قبل اخذ لقاح وتوكلو على سبحانه #الكويت_تستحق_الأفضل #تطعيم_كورونا,Favor,1.0,No,1.0,Positive,0.5738
240,Digital Transformation, شكرا الأستاذة ميساء على إنصاف وزارة التربية  حيث أنها من أوائل المؤسسات التي تحولت للعمل عن بعد بقيادة #حسين_الحمادي قد أرست قواعد التعليم الإلكتروني من حيث المناهج والعمليات  المدرسية  والتدريب منذ زمن لذلك نجحت في التحول بكل سلاسة ومنهجية,Favor,1.0,No,1.0,Positive,1.0
241,Digital Transformation,الكثير من العروض الجميلة للشركات الناشئة في مؤتمر #LEAP22  رائع ان تقود المملكة مثل هذا التحول التقني في المنطقة وان نشاهد هذا الكم من العقول في مكان واحد 🙆🏻‍♂️💚 URL,Favor,0.7453,No,1.0,Positive,1.0
242,Digital Transformation, التحول الإلكتروني  نفس الحال للصحف,Favor,0.5893,No,1.0,Neutral,0.7753
243,Digital Transformation,نعم ...  المدارس والجامعات الصينية منذ تاريخ 24 فبراير بدوام كامل (نفس الجداول والساعات الدراسية) قائمة على #التعليم_الإلكتروني.  #التحول_الرقمي #الإقتصاد_الرقمي  #١زائد١ #1plus1 #AshrafAlAstal #أشرف_الأسطل,Favor,0.5978,No,1.0,Neutral,1.0
244,Digital Transformation,نحتاج إلى أن ننتقل من مرحلة (الإبداع في التحليل) إلى (الإبداع في وضع الحلول).  بقاؤنا في مربع (مقاومة التغيير) فشل (غير مبرر).  العالم يتغير ...  معا نحو (وعي مبصر) وليس (جهل أعمى).  #التحول_الرقمي #الإقتصاد_الرقمي #التعليم_الإلكتروني  #١زائد١ #1plus1 #أشرف_الأسطل #AshrafAlAstal,Favor,0.5832,No,1.0,Neutral,0.6191
245,Digital Transformation,كتاب  #بلادنا_والزيت 🇸🇦🏭📚 لنخبة من رجال الفكر جمع وتقديم #الشيخ_عبدالله_بن_خميس اطلبه الآن من المتجر الإلكتروني URL  #السعودية #التحول_الوطني  #ذكرى_بيعة_ولي_العهد URL,Favor,1.0,No,1.0,Neutral,1.0
246,Covid Vaccine,""" أنا ارفض إني أكون فأر تجارب.""   #لا_تطعيم #كورونا #كوفيد_19 #حقوق_الانسان #كورونا_المستجد #قطيع #اصحوا #وثائق #لن_اخضع ",Against,1.0,No,1.0,Negative,1.0
247,Digital Transformation, وفقكم الله معالي الوزير  هذا القرار كنا ننتظره  لان مستقبل تقنية المعلومات #التحول_الرقمي واعد جداً لشباب وبنات المستقبل في السعودية وهو من اهداف #رؤية_السعودية_2030 🇸🇦  لوطن رقمي ومجتمع رقمي واقتصاد رقمي,Favor,1.0,No,1.0,Positive,1.0
248,Digital Transformation, نظام قديم ومتخلف المفروض تفعيل الخدمات الالكترونية الواحد مولازم على كل شي يزور الفرع وين التحول الالكتروني 😤,Favor,1.0,No,1.0,Positive,0.8411
249,Covid Vaccine,#بالعامية  على بالي اكتب بالعامية  يمكن لانه الموضوع  يخص حياتنا اليومية بدون لف ودوران  راح اتكلم دغري  عن تطعيم كورونا  الي ما سجلوا ايش تستنوا ما عرفتلكم ايش تبغوا  حكومتنا الله يحفظها لنا  ما سمحت يدخل ارضنا الا  لما اطمنت عليه وعلينا يلا يا جماعة بلاش تأخير سجلوا خلينا نفرح,Favor,1.0,No,1.0,Neutral,0.6469
250,Digital Transformation,تعلن مبادرة العطاء الرقمي (المدعومة من وزارة الاتصالات وتقنية المعلومات) عن طرح (17) دورة مجانية عن بعد (للرجال والنساء والأطفال) خلال الاسبوع الحالي والقادم  في مجالات تشمل (الأمن السيبراني  التحول الرقمي  التنمر الإلكتروني  URL URL,Favor,0.7665,No,1.0,Neutral,1.0
251,Digital Transformation,تعلن شركة نيوم بالتعاون مع الأكاديمية السعودية الرقمية عن فتح التسجيل في الدورات المجانية (عن بعد) مع شهادات معتمدة عبر مبادرة (التدريب الإلكتروني) والذي يستهدف تعزيز المهارات الرقمية والتقنية لكافة أفراد المجتمع في ظل التحول الذي تشهده المملكة. URL URL,Favor,0.7652,No,1.0,Neutral,0.5565
252,Digital Transformation, تشكر الدولة ممثلة بوزارة العدل على استحداث هذا البرنامج الذي يشمل جميع إجراءات التقاضي المطبقة إلكترونيا والذي يسهل سير عملية التقاضي الإلكتروني الذي يستكمل منظومة التحول الرقمي  طريقة سهلة وميسرة لكافة الفئات المعنية ولله الحمد شكراً للأستاذ ,Favor,0.7455,No,1.0,Positive,1.0
253,Women empowerment,  الجماعات المتطرفة هدفها زعزعة امن الوطن ومن ضمنها تمكين المرأة حريتها ..  *غدا ستعلمون كلمة صاحب السمو الملكي الأمير نايف بن عبدالعزيز آل سعود رحمه الله  (هم لايريدون حريتها هم يريدون حرية الوصول إليها),Against,0.4178,No,1.0,Positive,0.6299
255,Digital Transformation,استمرارًا في التحول الرقمي .. ديوان المظالم يطلق خدمة حجز موعد لزيارة المحاكم عبر بوابته الرقمية بدلاً من البريد الإلكتروني . URL,Favor,0.5891,No,1.0,Neutral,0.5672
256,Digital Transformation,   شكراً على الإطراء أستاذ مازن   وأنتم من أهم عناصر النجاح في عملية التحول .  جهودكم في مثل منصة زد لها أثر كبير على التحولات في عمليات البيع الإلكتروني داخل السوق السعودي .,Favor,1.0,No,1.0,Positive,1.0
257,Digital Transformation,لذلك التحول للبيع الالكتروني أصبح ضرورة وليس اختيار 👍🏻👍🏻 URL,Favor,1.0,No,1.0,Positive,1.0
258,Women empowerment, كذلك نحتاج شريطيّات أبل و بقر و دجاج   و في حراج السيارات و حراج بن قاسم في اطار خطة #تمكين_المرأة . و أطالب بإسمي وبإسم كل الرجال تعديل قوانين المجتمع الجائر في حقنا وذلك بتسليم عهدة القوامة إلى النساء وعليهن دفع مهور الازواج والإنفاق عليه,Against,0.7614,No,0.7738,Neutral,0.6302
259,Digital Transformation, ٢٠٢١!!! إجراء متعب ويمكن الاستغناء عن مثل هذه الإجراءات ولكن هناك حاجة  في نفس يعقوب!    ومثل هذه الإجراءات لا تتماشى مع التحول الإلكتروني ورؤية ٢٠٤٠,Favor,0.5881,No,1.0,Negative,0.774
260,Covid Vaccine, واحد يطعم بالعايله كل العايله تصيبهم كورونا هذا تطعيم ولا نشر الڤايروس ؟؟؟,Against,1.0,No,0.6861,Negative,0.6094
261,Covid Vaccine,  انا مستغرب   انتم الحين مطعمين ومحصنين ضد كورونا   ليش مستذبحين لازم ناخذ التطعيم .. ؟ 🤨  يبه خلوا الناس بقناعاتهم انتم مالكم شغل فيهم   مع ان نسبة الشفاء بدون تطعيم 98 % .. ليش الاصرار منكم على اخذ اللقاح ؟ 😒,Against,0.7488,No,1.0,Negative,0.6366
262,Covid Vaccine,MENTION MENTION MENTION يا اخوي تطعيمات الاطفال فيها اثار سلبيه واجد ترى مو قرأن بس جهلا فينا كنا نصدقهم ابحث بقوقل اما تطعيم كورونا تطعيم جديد وليس عليه دراسات انتوا التجارب للاسف وقاعد يرصدون الاثار السلبيه منكم اكثر من جذي ماتشوفون 🌝,Against,1.0,Yes,0.5578,Neutral,0.5578
263,Covid Vaccine,انا واحد عندي يقين ان العلم اهو الي ينقذ البشريه  و عندي ثقه بالعلم بصفه عامه  لذلك .. ماعندي اي مشكله اني اخذ تطعيم كورونا 😏,Favor,1.0,No,1.0,Neutral,0.6953
264,Digital Transformation,التحول الإلكتروني يساعد على سرعة انجاز المعاملات ولكن في بعض القطاعات أصبح العكس,Against,1.0,No,1.0,Negative,1.0
266,Digital Transformation,في شرق اسيا نظرا لاغلاق المدارس والمزودة بالتكنولوجيا التي توفر ظروف أكثر قابلية لتطبيق التعليم الافتراضي تنتهز الحكومات وشركات التعليم الإلكتروني الفرصة لتجربة التحول للتعليم عن بعد وهذا ما توقعه مايك تروكانو في٢٠١٤ خبير البنك الدولي بان الأوبئة قد تدعم هذا التوجه #جمعه_مباركه URL,Favor,1.0,No,1.0,Neutral,1.0
268,Digital Transformation,"اعتماد وسائط التعليم الإلكتروني نقله ""إجبارية""  تفتح آفاقا جديدة عندمن لم يستخدمها ويعتاد عليها تتجاوز طرق التعليم التقليدي خاصةعندماتكون العينة واعية ومسؤلة   ومن جانب آخر فإن ذلك التحول يظهر أهمية توظيف الوسائط التواصلية الافتراضية في التعلم والطلب.",Favor,0.7221,No,1.0,Positive,1.0
269,Digital Transformation, وممكن اعرف ايش فايدة التحول الالكتروني اذا ماقدرت اغير وجهة شحنتي لا من الموقع ولامن الاتصال وتجبرني اجيك مكتبك من ٨-٨ ومسكر في الويك اند   ياخي قسم بالله اتعس تجربة ممكن تخوضها,Against,1.0,No,1.0,Negative,1.0
272,Digital Transformation,  اضاءة مميزة من لجنة المقاولات خاصة ان التحول التقني لهذا القطاع يعطي نتائج أجود ويقلل الجهد والتكلفة ويحوكم العمليات لتحقيق المستهدفات وقياس النتائج ...👍🏻,Favor,1.0,No,1.0,Positive,0.7228
273,Women empowerment,اتمنى ان لاتهدم هذه الحركات #النسوية المتطرفة الموجة الحكومية في تمكين المراة والاستفادة من نصف المجتمع #انقذوا_رهف_اليامي,Against,1.0,No,1.0,Negative,0.6302
274,Women empowerment, يجب تمكين المرأة من العمل، لدينا بنات كثير يعلن عائلتهن والمرأة اكثر جدية في العمل. يجب ان نمكنهن في جميع شتى القطاعات واحلالهن في المهن المشغولة بغير السعوديين.,Favor,1.0,No,1.0,Neutral,0.8526
275,Digital Transformation, كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الى بنك عدل مثل الانماء والله خدماتهم تفتح النفس,Against,0.6091,No,1.0,Negative,0.6629
276,Women empowerment,ومن #مساواة إلى تمكين إلى #حقوق ثم تنوير.. المقصد ليس حق المرأة وإنما كيف تفكيك #المرأة من عفتها!!,Against,1.0,Yes,0.5065,Negative,1.0
277,Women empowerment,مَا أَعَزَّنا اللهُ -نحن نساء المملكة العربية السعودية- بالملك/سلمان بن عبد العزيز آل سعود  وسموّ وليّ العهد الأمير/محمد بن سلمان آل سعود -حفظهما الله- حتّى نَتَبَسَّمَ للانتِهَاكات! #تمكين_المرأة  #رؤية_السعودية_2030  #وزارة_العدل  #النيابة_العامة  #حماية_المرأة_من_الأذى URL,Favor,1.0,No,1.0,Positive,0.6146
278,Covid Vaccine,أخذت الجرعة الأولى من لقاح كورونا يوم السبت الظهر. واحس بألم بيدي فقط في اليوم الأول ولا فيه أعراض أخرى 👍 #لقاح_كورونا #تطعيم_كورونا,Favor,1.0,No,1.0,Neutral,1.0
279,Digital Transformation,التجارة الالكترونية باتت من أهم القنوات التجارية ولازال هنالك دول في الشرق الاوسط وأفريقيا تعاني تحديات كبيرة منها الدفع الإلكتروني  #الإمارات لعبت دور كبير في تسريع التحول الرقمي وتعزيز ثقة الدفع الالكتروني وزيادة ثقة المتعاملين مما ذلل أحد تلك التحديات وجعلها متفوقة عن غيرها URL,Favor,1.0,No,1.0,Positive,0.756
280,Covid Vaccine,#امنيه_تتمناها يكنسلون تطعيم كورونا 🙁🙁🙁 ...,Against,1.0,No,1.0,Negative,1.0
281,Covid Vaccine,MENTION MENTION MENTION اوف مستقبل الاطفال ؟ليه كم نسبةالوفيات بين الاطفال بسبب كورونا كل اطفال العائلة والاقارب والمعارف اصيبواوشفيوا ولابين عليهم المرض ماشاء الله اما الانفلونزا لاجتهم دمرتهم ومع هذا مافي حث كبير على تطعيم الانفلونزا اللي يبي يطعم اطفاله يطعمهم واللي مايبي حر لان النسبة الاعلى المتضرر URL,Against,0.4101,No,1.0,Neutral,0.6512
282,Covid Vaccine,  وين الدليل انه راح يصير شي على عيالنا واحفادنا ؟ انا شخصيا جربت الكورونا ودخلت المستشفي عشر ايام تقريبا وتحت الاوكسجين ومعاناة ما وراها معاناه اقسم بالله اول مره يمر على هالشي وحاليا مستعد لو اخذ مليون تطعيم بس ما عيد تجرب,Favor,1.0,No,1.0,Positive,0.6011
284,Digital Transformation,ما تشهده المملكة من التطور الكبير بالتحول الإلكتروني في جميع الخدمات والتيسير على المواطنين وخدمتهم في أماكنهم دون مراجعة لافت للنظر فالدول المتقدمة لم تصل نصف ماوصلت له المملكة من التحول الإلكتروني. URL,Favor,1.0,No,1.0,Positive,1.0
285,Women empowerment,أنا سعيدة جدًا على انجازات المملكة العربية السعودية تحديدًا نقلتها السريعة في تمكين المرأة بشتى المجالات. السؤال هل ستقتدي أخوات المملكة بها؟ على ماتحققه اليوم من نجاح في جميع الأصعدة ,Favor,1.0,No,1.0,Positive,1.0
286,Digital Transformation,في #عسير مثلا أغلب الجهات الحكومية قطعت شوط كبير في #التحول_الالكتروني عدا أعلى الهرم الإداري بالمنطقة  للأسف سيقع في حرج كبير إذا أراد تفعيل #الخدمات_الالكترونية لمراجعيه. ولعل أصحاب القرار هناك انشغلوا بأمور أخرى غير تحقيق #رؤية_2030 #تركي_بن_طلال #إمارة_عسير,Favor,0.5733,No,1.0,Negative,0.7733
287,Digital Transformation,بلوغنا ترتيب ١١ على مستوى دول العشرين و ٢٣ عالمياً في التقدم التقني مقياس حقيقي على نهضة #التحول_الرقمي في المملكة وحق لنا الفخر بذلك..  فالإيمان بالأهمية وتمكين القدرات والثقة هو السر و#أبشر و#توكلنا مثال على قدرة الشباب السعودي في صنع الفرق ورفع الجودة🇸🇦   حلقة رائعة👍🏻 URL,Favor,1.0,No,1.0,Positive,0.7721
289,Digital Transformation, معالي الوزير ماقصر وارتقى بالوزارة إلى المعالي عملاً لا قولاً بقي فقط لو يتم الغاء الرخصة المكانية لمأذوني الأنكحة بحيث يتم اجراء عقد الزواج من أي مكان لاسيما بعد التحول الالكتروني الجميل لعقود الأنكحة,Favor,0.7098,No,1.0,Positive,0.7588
290,Digital Transformation,التحول الإلكتروني يضمن تنفيذ الإجراءات الجنائية بدرجة أمان 100%  #البحرين #أخبار_الخليج  URL,Favor,1.0,No,1.0,Positive,1.0
291,Digital Transformation,44 % نسبة التحول الإلكتروني في خدمة طلبات شهادات حسن السيرة والسلوك #البحرين #أخبار_الخليج URL,Favor,0.5834,No,1.0,Neutral,1.0
292,Digital Transformation,مركز الاتصال الوطني يدشن سلسلة الإيجازات الإعلامية الحكومية.. القائد يقدم إيجازاً حول إنجازات برنامج التحول الإلكتروني في المملكة لعام 2020  #البحرين #أخبار_الخليج  URL,Favor,0.7732,No,1.0,Neutral,0.6131
293,Digital Transformation,دعم القيادة جعل للمرأة البحرينية بصمات واضحة في عمليات التحول الإلكتروني الحكومي توفير الاحصائيات ومؤشرات أهداف التنمية المستدامة الخاصة بالمرأة من أبرز مكتسبات التعاون بين الهيئة والمجلس الأعلى للمرأة  #البحرين #أخبار_الخليج URL,Favor,1.0,No,1.0,Positive,1.0
294,Digital Transformation,كورونا علم المؤسسات والشركات والحكومات أن التحول الإلكتروني ليس صعبا ولا مخيفا وأن الموظفين قد الثقة في الغالب..,Favor,0.8126,No,1.0,Negative,0.6484
295,Digital Transformation,"حد يصحح لي اذا كنت غلطان ألم يكن  المعنيين بالتحول الإلكتروني عام ٢٠١٢ هم نفسهم المسؤولين عن""كدس"" من  الندوات والمؤتمرات اللي تقود الي هذا التحول ولكن التحول نفسه ""تعثر"" في الدرب الين الحين URL",Favor,1.0,No,0.7907,Negative,0.6482
296,Digital Transformation,هناك تسارع كبير في التحول الوطني الالكتروني هذا شي مذهل اصبح لدينا مايسمى ب النفاذ الوطني واصبح المواطن وهو في منزله يحصل على الاف الخدمات حتى التعليم اصبح عن بعد ونجح ذلك,Favor,1.0,No,1.0,Positive,0.8416
297,Covid Vaccine,MENTION هههههههه نفس الكلام يتكرر عن الجرعة الأولى ثم الثانية والآن الثالثة ثم الرابعة والخامسة والثامنة والعشرون...!! ومن أدخلوه القفص سيجبرونه على اللقاحات ولا خيار آخر له.. ولا حول ولا قوة إلا بالله العلي العظيم.  #لقاح #فايزر #اكسفورد #جونسون #كورونا #كوفيد #تطعيم,Against,1.0,Yes,0.6782,Neutral,0.708
298,Digital Transformation,عن تجربة شخصية #التصديق_الالكتروني بـ #غرفة_المدينة مشكورة سهل وسرع لنا الإجراءات والعمليات لإدارة الموارد البشرية والمشاريع وتنفيذ طلبات التصديق اليومية من خلال #الخدمات_الالكترونية_للمشتركين حتى في أوقات الإجازات الرسمية  شكراً  على مواكبة التحول الرقمي URL URL,Favor,1.0,No,1.0,Neutral,0.5936
299,Digital Transformation,من ايجابيات فيروس كورونا سرعة التحول الإلكتروني بالكويت  بارك الله في تلك الجهود   #الكويت  #سجن_الكويت_يضرب,Favor,1.0,No,1.0,Positive,1.0
300,Digital Transformation,  والوزارة كل يوم مغردين عن التحول الرقمي والتعليم الالكتروني ليه مايربطون الجهات التدريبية كافة في سيستم واحد وبرقم البطاقة تظهرلك الدورات.... يعني بالله تبغاني اتذكر دورات وتواريخها قبل عشر سنوات اعتقد في نظام النمو المهني اجحاف كبير ,Favor,0.3977,No,1.0,Neutral,1.0
301,Digital Transformation,5-  البحث عن المعلومات في المصادر المطبوعة وغير المطبوعة. 6-  التحول من التّعليم التقليدي إلى التّعليم الإلكتروني. 7-  تقديم التغذية الراجعة المباشرة للمتعلم. #التعليم_المدمج #تعليم_جديد,Favor,1.0,No,1.0,Neutral,1.0
302,Women empowerment,  ياليت المرأة تعتبر خديجه رضي الله عنها تمكين للمرأة فبالرغم من ثرائها لم تخالط الرجال وقامت بعملهاكأمرأه في بيتها وانجبت وربت جيل كامل اربعة بنات قمم في التربيه فقد فرغت نفسها لتخرج قدوات للمجتمع على الرغم من زواجها المتأخرفي عمر ,Against,0.3911,No,1.0,Positive,0.4258
304,Covid Vaccine,#تطعيم_كورونا  شي إيجابي ويشكرون عليه تنظيم و ترتيب وتسهيل الأمور شي يثلج الصدر صراحه واتمنى من جميع مرافق الدولة تتعلم من هذا العمل الجماعي المنظم جزاهم الله خير . #مشرف_قاعه_5_6 شكرا لكم,Favor,1.0,No,1.0,Positive,1.0
